Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored,Match Result
0,4,3,0,0,0.00,1,lbw,2,v Pakistan,The Oval,2017-06-18,https://stats.espncricinfo.com/ci/engine/match/1022375.html,158,10,0.0,L
4,-,13,0,0,30.76,1,run out,2,v Sri Lanka,Dambulla,2017-08-20,https://stats.espncricinfo.com/ci/engine/match/1109605.html,220,1,1.8181818181818181,W
54,-,45,5,3,120.00,1,lbw,2,v Sri Lanka,Pallekele,2017-08-24,https://stats.espncricinfo.com/ci/engine/match/1109606.html,231,7,23.376623376623375,W
124,-,145,16,2,85.51,1,not out,2,v Sri Lanka,Pallekele,2017-08-27,https://stats.espncricinfo.com/ci/engine/match/1109607.html,218,4,56.88073394495413,W
104,-,88,11,3,118.18,1,caught,1,v Sri Lanka,Colombo (RPS),2017-08-31,https://stats.espncricinfo.com/ci/engine/match/1109608.html,375,5,27.73333333333333,W
16,-,20,1,0,80.00,1,caught,2,v Sri Lanka,Colombo (RPS),2017-09-03,https://stats.espncricinfo.com/ci/engine/match/1109609.html,239,4,6.694560669456067,W
28,81,44,3,0,63.63,2,caught,1,v Australia,Chennai,2017-09-17,https://stats.espncricinfo.com/ci/engine/match/1119496.html,281,7,9.9644128113879,W
7,24,14,1,0,50.00,2,caught,1,v Australia,Eden Gardens,2017-09-21,https://stats.espncricinfo.com/ci/engine/match/1119497.html,252,10,2.7777777777777777,W
71,94,62,6,4,114.51,2,caught,2,v Australia,Indore,2017-09-24,https://stats.espncricinfo.com/ci/engine/match/1119498.html,294,5,24.149659863945576,W
65,93,55,1,5,118.18,2,run out,2,v Australia,Bengaluru,2017-09-28,https://stats.espncricinfo.com/ci/engine/match/1119499.html,313,8,20.766773162939298,L
125,165,109,11,5,114.67,2,caught,2,v Australia,Nagpur,2017-10-01,https://stats.espncricinfo.com/ci/engine/match/1119500.html,243,3,51.440329218106996,W
20,27,18,0,2,111.11,1,bowled,1,v New Zealand,Wankhede,2017-10-22,https://stats.espncricinfo.com/ci/engine/match/1120090.html,280,8,7.142857142857142,L
7,17,19,1,0,36.84,1,caught,2,v New Zealand,Pune,2017-10-25,https://stats.espncricinfo.com/ci/engine/match/1120091.html,232,4,3.0172413793103448,W
