Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored,Match Result
101,167,107,9,0,94.39,5,not out,2,v Bangladesh,Mirpur,2010-01-07,https://stats.espncricinfo.com/ci/engine/match/434260.html,297,4,34.00673400673401,W
32,53,35,3,0,91.42,5,caught,2,v Bangladesh,Mirpur,2010-01-11,https://stats.espncricinfo.com/ci/engine/match/434263.html,249,4,12.851405622489958,W
14,23,19,3,0,73.68,5,caught,1,v Sri Lanka,Mirpur,2010-01-13,https://stats.espncricinfo.com/ci/engine/match/434264.html,245,10,5.714285714285714,L
26,-,29,2,0,89.65,4,caught,1,v South Africa,Jaipur,2010-02-21,https://stats.espncricinfo.com/ci/engine/match/441827.html,298,9,8.724832214765101,W
68,37,35,7,4,194.28,5,not out,1,v South Africa,Gwalior,2010-02-24,https://stats.espncricinfo.com/ci/engine/match/441828.html,401,3,16.957605985037407,W
9,-,7,0,1,128.57,5,caught,2,v South Africa,Ahmedabad,2010-02-27,https://stats.espncricinfo.com/ci/engine/match/441829.html,275,10,3.272727272727273,L
38,63,45,3,1,84.44,5,not out,2,v Bangladesh,Dambulla,2010-06-16,https://stats.espncricinfo.com/ci/engine/match/455232.html,168,4,22.61904761904762,W
56,91,71,2,1,78.87,4,bowled,2,v Pakistan,Dambulla,2010-06-19,https://stats.espncricinfo.com/ci/engine/match/455234.html,271,7,20.66420664206642,W
41,59,53,6,0,77.35,6,run out,1,v Sri Lanka,Dambulla,2010-06-22,https://stats.espncricinfo.com/ci/engine/match/455236.html,209,10,19.617224880382775,L
38,51,50,2,1,76.00,4,caught,1,v Sri Lanka,Dambulla,2010-06-24,https://stats.espncricinfo.com/ci/engine/match/455237.html,268,6,14.17910447761194,W
2,14,9,0,0,22.22,6,run out,2,v New Zealand,Dambulla,2010-08-10,https://stats.espncricinfo.com/ci/engine/match/456662.html,88,10,2.272727272727273,L
23,56,38,2,0,60.52,6,not out,2,v Sri Lanka,Dambulla,2010-08-16,https://stats.espncricinfo.com/ci/engine/match/456663.html,171,4,13.450292397660817,W
10,-,16,2,0,62.50,6,caught,1,v Sri Lanka,Dambulla,2010-08-22,https://stats.espncricinfo.com/ci/engine/match/456666.html,103,10,9.70873786407767,L
38,96,75,3,0,50.66,6,caught,1,v New Zealand,Dambulla,2010-08-25,https://stats.espncricinfo.com/ci/engine/match/456665.html,223,10,17.040358744394617,W
67,140,100,5,1,67.00,5,bowled,2,v Sri Lanka,Dambulla,2010-08-28,https://stats.espncricinfo.com/ci/engine/match/456668.html,225,10,29.777777777777775,L
0,3,1,0,0,0.00,6,bowled,2,v Australia,Visakhapatnam,2010-10-20,https://stats.espncricinfo.com/ci/engine/match/464529.html,292,5,0.0,W
25,48,35,1,0,71.42,6,run out,2,v South Africa,Durban,2011-01-12,https://stats.espncricinfo.com/ci/engine/match/463150.html,154,10,16.233766233766232,L
38,101,61,1,0,62.29,5,bowled,1,v South Africa,Johannesburg,2011-01-15,https://stats.espncricinfo.com/ci/engine/match/463151.html,190,10,20.0,W
5,15,12,1,0,41.66,5,caught,2,v South Africa,Cape Town,2011-01-18,https://stats.espncricinfo.com/ci/engine/match/463152.html,223,8,2.242152466367713,W
2,9,8,0,0,25.00,6,caught,2,v South Africa,Gqeberha,2011-01-21,https://stats.espncricinfo.com/ci/engine/match/463153.html,142,6,1.4084507042253522,L
5,11,10,1,0,50.00,4,caught,2,v South Africa,Centurion,2011-01-23,https://stats.espncricinfo.com/ci/engine/match/463154.html,234,10,2.1367521367521367,L
31,38,25,3,1,124.00,5,caught,1,v England,Bengaluru,2011-02-27,https://stats.espncricinfo.com/ci/engine/match/433568.html,338,10,9.171597633136095,L
34,68,50,2,0,68.00,6,lbw,2,v Ireland,Bengaluru,2011-03-06,https://stats.espncricinfo.com/ci/engine/match/433578.html,210,5,16.19047619047619,W
19,56,40,2,0,47.50,7,not out,2,v Netherlands,Delhi,2011-03-09,https://stats.espncricinfo.com/ci/engine/match/433582.html,191,5,9.947643979057592,W
12,37,21,0,0,57.14,6,not out,1,v South Africa,Nagpur,2011-03-12,https://stats.espncricinfo.com/ci/engine/match/433586.html,296,10,4.054054054054054,L
22,41,30,1,0,73.33,5,stumped,1,v West Indies,Chennai,2011-03-20,https://stats.espncricinfo.com/ci/engine/match/433599.html,268,10,8.208955223880597,W
7,19,8,1,0,87.50,6,caught,2,v Australia,Ahmedabad,2011-03-24,https://stats.espncricinfo.com/ci/engine/match/433601.html,261,5,2.681992337164751,W
