Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored
13,15,12,1,0,108.33,5,caught,1,v South Africa,Belfast,2007-06-26,https://stats.espncricinfo.com/ci/engine/match/293076.html,242,8,5.371900826446281
49,83,63,4,1,77.77,4,not out,2,v South Africa,Belfast,2007-06-29,https://stats.espncricinfo.com/ci/engine/match/293077.html,227,4,21.58590308370044
61,94,82,6,1,74.39,5,not out,2,v South Africa,Belfast,2007-07-01,https://stats.espncricinfo.com/ci/engine/match/293078.html,152,4,40.131578947368425
38,-,28,5,1,135.71,4,bowled,2,v Scotland,Glasgow,2007-08-16,https://stats.espncricinfo.com/ci/engine/match/275789.html,212,3,17.92452830188679
0,1,4,0,0,0.00,5,caught,2,v England,Southampton,2007-08-21,https://stats.espncricinfo.com/ci/engine/match/258471.html,184,10,0.0
49,94,53,6,0,92.45,3,caught,1,v England,Bristol,2007-08-24,https://stats.espncricinfo.com/ci/engine/match/258472.html,329,7,14.893617021276595
45,67,39,4,1,115.38,5,run out,2,v England,Birmingham,2007-08-27,https://stats.espncricinfo.com/ci/engine/match/258473.html,239,10,18.828451882845187
71,134,104,5,1,68.26,5,bowled,1,v England,Manchester,2007-08-30,https://stats.espncricinfo.com/ci/engine/match/258474.html,212,10,33.490566037735846
72,72,57,10,2,126.31,4,caught,1,v England,Leeds,2007-09-02,https://stats.espncricinfo.com/ci/engine/match/258475.html,324,6,22.22222222222222
18,28,24,1,0,75.00,4,caught,2,v England,The Oval,2007-09-05,https://stats.espncricinfo.com/ci/engine/match/258476.html,317,8,5.678233438485805
28,77,48,1,1,58.33,5,caught,1,v England,Lord's,2007-09-08,https://stats.espncricinfo.com/ci/engine/match/258477.html,187,10,14.973262032085561
10,14,10,0,1,100.00,4,caught,2,v Australia,Kochi,2007-10-02,https://stats.espncricinfo.com/ci/engine/match/297794.html,222,10,4.504504504504505
121,177,115,12,3,105.21,5,bowled,2,v Australia,Hyderabad,2007-10-05,https://stats.espncricinfo.com/ci/engine/match/297795.html,243,10,49.794238683127574
